           Best        Worst       Median         Mean        Std
1    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
2    0.00000001   8.91610193   3.98657912   3.63182072 3.57803544
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    3.98253130   9.97010082   6.97805203   7.27788991 1.67082181
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    0.12988087  18.21360138   1.56346881   2.82104162 3.89918018
7    0.00000001  19.99962692   0.00000001   0.79931545 3.58132981
8    0.00976183  20.14137015   0.62905170   2.45670526 5.88593068
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.19432529 100.34847563 100.26834536 100.27853650 0.04469909
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 158.61835456 161.40488076 158.61835477 159.41112276 1.14301507
