           Best        Worst       Median         Mean        Std
1    0.00000002   0.00037224   0.00000516   0.00002510 0.00006894
2    0.25186771   8.91610193   8.91610193   7.39256486 2.10999379
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    3.00956872   7.02467438   5.01472012   4.77271996 1.17058749
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    0.78165756  15.07379329   4.10484257   5.11407812 3.04157314
7    0.00000001   0.45710917   0.00397558   0.03832334 0.08596156
8    0.26847606   5.80925742   0.69835086   1.01305785 1.01794615
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.15367571 100.25905894 100.22294309 100.21859665 0.02615324
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 158.61835497 161.40488076 158.61867428 159.11729299 0.93326150
