           Best        Worst       Median         Mean        Std
1    0.00000002   0.00051141   0.00000327   0.00003319 0.00010447
2    0.53684414   8.91610193   8.91610193   7.03065717 2.43819960
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    2.99995637   6.25989102   4.16629665   4.50221755 0.96679895
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    1.44199256  11.26845619   4.42823409   4.75243799 2.30711998
7    0.00000001   0.06386103   0.00041337   0.01137700 0.01933132
8    0.26895888   1.51703817   0.64868568   0.73759691 0.36287199
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.17121427 100.26820049 100.22633625 100.22664491 0.02310864
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 158.61835481 161.40488076 158.61842615 159.23551997 1.02701780
