           Best        Worst       Median         Mean        Std
1    0.00000001   0.00000022   0.00000001   0.00000002 0.00000004
2    0.00000001   8.91610193   3.98657911   3.15225776 2.95098969
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    2.99188158  10.96975120   6.96938578   7.04324401 1.95583878
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    0.13087371  10.55683746   1.39997139   2.34298395 2.53927154
7    0.00000001  20.04355369   0.00000001   2.00283845 6.00850770
8    0.00057801  20.49427083   0.66323344   3.87955075 7.32953092
9  229.28438271 229.28438271 229.28438271 229.28438271 0.00000000
10 100.20456509 100.35290944 100.27693822 100.27586596 0.03688809
11   0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
12 158.61835456 161.40488076 158.61835463 159.29858427 1.08674291
