           Best        Worst       Median         Mean        Std
1    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
2   49.08447898  49.08447898  49.08447898  49.08447898 0.00000000
3    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
4    5.96975434  13.92942680   8.95463151   9.01343099 1.99850987
5    0.00000001   0.00000001   0.00000001   0.00000001 0.00000000
6    0.17075853   2.14708620   0.36801231   0.69308757 0.57977655
7    0.00001358  21.61930548   4.29200948   9.87475206 8.71001736
8    0.18843838  20.99003714  20.17196385  16.83389679 6.23770139
9  180.78127168 180.78127168 180.78127168 180.78127168 0.00000000
10 100.21643021 100.29913139 100.24772239 100.25084839 0.02105442
11 300.00000000 300.00000000 300.00000000 300.00000000 0.00000000
12 231.95063763 242.05806823 233.98396074 235.82459872 2.80932451
