           Best        Worst       Median         Mean         Std
1    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
2    0.00000004   8.91610193   3.98657978   5.98981986  2.65459441
3    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
4    2.98487717  14.57290855   6.96470836   7.12019305  2.70256160
5    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
6    0.41327566   1.14935963   0.71211818   0.71891993  0.14368363
7    0.00000001  20.11243659   0.00000001   3.02620812  6.39304108
8    0.00044878  20.23683149   0.19335758   1.50289611  4.07399927
9  229.28438271 229.28438271 229.28438271 229.28438271  0.00000000
10 100.22224922 200.00000000 100.28824791 103.61496547 17.89828579
11   0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
12 159.36873364 162.56737636 161.40488076 161.37112146  0.82214790
