           Best          Worst         Median           Mean            Std
1    0.00000001     0.09292251     0.00000001     0.00314951     0.01667183
2    1.36308179    44.89546932     6.44529242    23.24673116    19.36484418
3    0.00000001     0.00000001     0.00000001     0.00000001     0.00000000
4   15.96547021    36.67328838    26.88355808    27.11110071     4.45850215
5    0.00000001    66.84426631    29.60268958    30.43667905    17.78659766
6  119.22749674 23203.11285681 21609.06147374 13773.80796252 10333.08576600
7    6.93320077    23.48415086    20.97499058    18.45346758     4.88554987
8   20.69382425    21.30498462    21.00844525    20.98045000     0.18718395
9  180.78127168   180.78127168   180.78127168   180.78127168     0.00000000
10 100.30748262   100.51527846   100.39193055   100.39698610     0.04966550
11 300.00000000   400.00000000   300.00000000   346.66666667    49.88876516
12 231.22406674   239.44179590   233.97431638   234.50555160     1.77813669
