           Best        Worst       Median         Mean         Std
1    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
2   49.08447898  49.08447898  49.08447898  49.08447898  0.00000000
3    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
4    4.97479529  12.93446270   9.94958805   9.62051904  2.06098470
5    0.00000001   0.00000001   0.00000001   0.00000001  0.00000000
6    0.12877139   7.37761659   0.41669924   1.39204367  1.93196179
7    0.00000117  20.99495899   3.79453436   9.86168999  8.91560021
8    0.82496855  21.17352662  20.47899244  18.88146576  4.13602181
9  180.78127168 180.78127168 180.78127168 180.78127168  0.00000000
10 100.18010841 100.27964471 100.23113448 100.23228660  0.02128304
11 300.00000000 400.00000000 300.00000000 303.33333333 17.95054936
12 231.85780966 242.11459303 233.97430095 234.85109453  2.36869888
